RunID,Status,Run description,Metro,Year,Land Use,Road,Rail,Bus,Fares,Frequency,Car,Priority,Period,White Bay,Model,Computer,Iterations,Known issues,Demographic profile,Occupational Profile,Period allocation,Stop specific car access penalties,Stop specific interchange penalties,Global metro penalties
1a,Latest,Reference Case,No Metro,2021,LU3a,R1,Rail C,B1,Fa1,22-Dec,C1,15,AM1,WBoff,Full,Rice,4,,TDC,LGA,CBD/Other,ca2,ss1,mp1
2a,Latest,Reference Case,No Metro,2031,LU3a,R1,Rail C,B1,Fa1,24-Dec,C1,2,AM1,WBoff,Full,Fawcett,4,,TDC,LGA,CBD/Other,ca2,ss1,mp1
3a,Latest,Reference Case,No Metro,2041,LU3a,R1,Rail C,B1,Fa1,26-Dec,C1,5,AM1,WBoff,Full,Jacko,4,,TDC,LGA,CBD/Other,ca2,ss1,mp1
4a,Superceded,Reference Case,MCWN1,2021,LU3a,R1,Rail C,BCWN,Fa1,22-Dec,C1,16,AM1,WBoff,Full,Hewitt,4,No domestic,TDC,LGA,CBD/Other,ca2,ss1,mp1
4b,Latest,Reference Case,MCWN1,2021,LU3a,R1,Rail C,BCWN,Fa1,22-Dec,C1,16,AM1,WBoff,Full,PB3,4,,TDC,LGA,CBD/Other,ca2,ss1,mp1
5a,Superceded,Reference Case,MCWN1,2031,LU3a,R1,Rail C,BCWN,Fa1,24-Dec,C1,1,AM1,WBon,Full,Rice,4,No domestic,TDC,LGA,CBD/Other,ca2,ss1,mp1
5b,Latest,Reference Case,MCWN1,2031,LU3a,R1,Rail C,BCWN,Fa1,24-Dec,C1,1,AM1,WBon,Full,Jacko,4,,TDC,LGA,CBD/Other,ca2,ss1,mp1
6a,Superceded,Reference Case,MCWN1,2041,LU3a,R1,Rail C,BCWN,Fa1,26-Dec,C1,4,AM1,WBon,Full,Hewitt,4,No domestic,TDC,LGA,CBD/Other,ca2,ss1,mp1
6b,Latest,Reference Case,MCWN1,2041,LU3a,R1,Rail C,BCWN,Fa1,26-Dec,C1,4,AM1,WBon,Full,PB4,4,,TDC,LGA,CBD/Other,ca2,ss1,mp1
7a,Latest,Metro Staging - CBD,MC1,2021,LU3a,R1,Rail C,BC,Fa1,22-Dec,C1,23,AM1,WBoff,Full,Jacko,4,,TDC,LGA,CBD/Other,ca2,ss1,mp1
8a,Superceded,Metro Staging - CBD,MC1,2031,LU3a,R1,Rail C,BC,Fa1,24-Dec,C1,6,AM1,WBon,Full,PB3,4,"No domestic, ECRL stations",TDC,LGA,CBD/Other,ca2,ss1,mp1
8b,Latest,Metro Staging - CBD,MC1,2031,LU3a,R1,Rail C,BC,Fa1,24-Dec,C1,6,AM1,WBon,Full,Haydos,4,,TDC,LGA,CBD/Other,ca2,ss1,mp1
9a,Superceded,Metro Staging - CBD,MC1,2041,LU3a,R1,Rail C,BC,Fa1,26-Dec,C1,7,AM1,WBon,Full,PB4,4,"No domestic, ECRL stations",TDC,LGA,CBD/Other,ca2,ss1,mp1
9b,Latest,Metro Staging - CBD,MC1,2041,LU3a,R1,Rail C,BC,Fa1,26-Dec,C1,7,AM1,WBon,Full,Odin,4,,TDC,LGA,CBD/Other,ca2,ss1,mp1
10a,Latest,Metro Staging - Inner West + CBD Metro,MCW2,2021,LU3a,R1,Rail C,BCW,Fa1,22-Dec,C1,24,AM1,WBoff,Full,Fawcett,4,,TDC,LGA,CBD/Other,ca2,ss1,mp1
11a,Superceded,Metro Staging - Inner West + CBD Metro,MCW2,2031,LU3a,R1,Rail C,BCW,Fa1,24-Dec,C1,8,AM1,WBon,Full,Jacko,4,"No domestic, ECRL stations",TDC,LGA,CBD/Other,ca2,ss1,mp1
